#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-11-25 16:30:21.994
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 1000 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 5 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 60.1568 V
#Offset: 0.000698911 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 60.9044 V
#Offset: 0.00197368 V
#Attenuation: 1 X

Frequency (Hz)	Trace Rs (?)	Trace Xs (?)
1.27342e+06	131.745	-688.71
1.27929e+06	119.488	-667.321
1.2852e+06	112.67	-650.973
1.29113e+06	112.839	-640.295
1.29709e+06	116.244	-649.001
1.30308e+06	69.5874	-638.676
1.30909e+06	58.0677	-615.844
1.31513e+06	54.7415	-596.233
1.3212e+06	54.9967	-580.869
1.3273e+06	39.7952	-580.829
1.33343e+06	36.52	-560.647
1.33958e+06	36.2873	-544.949
1.34577e+06	39.0699	-531.408
1.35198e+06	32.2204	-528.979
1.35822e+06	33.9375	-512.886
1.36449e+06	36.3764	-501.841
1.37079e+06	55.9534	-492.333
1.37711e+06	47.3345	-491.614
1.38347e+06	51.3241	-491.709
1.38986e+06	49.3868	-488.622
1.39627e+06	40.2969	-494.073
1.40272e+06	35.8342	-483.886
1.40919e+06	35.3738	-474.619
1.4157e+06	34.6795	-474.814
1.42223e+06	32.8344	-469.135
1.4288e+06	29.3426	-463.542
1.43539e+06	24.5976	-461.873
1.44202e+06	21.925	-452.167
1.44867e+06	20.6704	-443.031
1.45536e+06	18.7468	-439.733
1.46208e+06	17.1423	-430.939
1.46882e+06	20.1195	-419.542
1.4756e+06	17.143	-416.658
1.48242e+06	17.8804	-407.961
1.48926e+06	20.7175	-404.414
1.49613e+06	22.6357	-395.332
1.50304e+06	26.5293	-386.061
1.50998e+06	28.1752	-383.9
1.51695e+06	32.2052	-376.245
1.52395e+06	36.3441	-373.905
1.53098e+06	40.9634	-367.127
1.53805e+06	48.6026	-362.388
1.54515e+06	56.405	-358.381
1.55228e+06	67.229	-357.443
1.55944e+06	75.3279	-365.742
1.56664e+06	77.6337	-373.095
1.57387e+06	77.3789	-382.169
1.58114e+06	72.491	-384.181
1.58844e+06	69.8789	-389.118
1.59577e+06	65.5258	-387.088
1.60313e+06	63.4799	-390.191
1.61053e+06	59.3185	-389.766
1.61797e+06	52.8794	-390.625
1.62544e+06	48.4245	-384.514
1.63294e+06	46.3855	-379.885
1.64048e+06	49.558	-373.73
1.64805e+06	50.9791	-373.524
1.65566e+06	54.5042	-372.203
1.6633e+06	55.0675	-376.033
1.67098e+06	55.2352	-381.957
1.67869e+06	47.2222	-385.241
1.68644e+06	38.7634	-385.44
1.69422e+06	32.2751	-379.741
1.70204e+06	28.415	-375.544
1.7099e+06	26.4314	-371.434
1.71779e+06	22.5438	-367.548
1.72572e+06	20.8383	-363.023
1.73368e+06	19.2128	-358.101
1.74169e+06	16.7921	-354.504
1.74973e+06	16.1121	-348.421
1.7578e+06	15.4717	-342.975
1.76592e+06	15.7165	-338.663
1.77407e+06	18.392	-332.868
1.78226e+06	21.448	-329.029
1.79048e+06	25.6662	-327.593
1.79875e+06	27.0581	-329.338
1.80705e+06	25.0595	-331.046
1.81539e+06	22.3095	-329.416
1.82377e+06	21.6873	-325.013
1.83219e+06	20.7513	-322.356
1.84064e+06	21.5392	-318.901
1.84914e+06	24.147	-317.7
